trial,force_plate_rsi,accelerometer_rsi,percent_error
B_trial_1,1.2141413468634688,1.2446220079787236,-2.51047056374420428800
B_trial_2,1.1573559343853823,1.1304826710097724,2.32195321916079649800
B_trial_3,1.1428361954697988,1.1039305573770495,3.40430573051249155800
B_trial_4,1.195474416946309,1.2886539046391756,-7.79435229830196070900
B_trial_7,1.0762881457703928,1.0547920353982303,1.99724492522175545200
B_trial_8,1.2407455657894741,1.3247879464285717,-6.77353866548958944500
B_trial_9,1.093046746987952,1.2736805714285713,-16.52571813038937835200
B_trial_10,1.1137055479942692,1.0995060576923081,1.27497706440752743600
C_trial_1,0.825147477094241,0.9164342520491804,-11.06308599238599345900
C_trial_2,0.6525897200226244,0.8005129743436755,-22.66711377493393575200
C_trial_3,0.8973468695335276,0.8905472766570607,.75774409064374036800
C_trial_4,0.75577875,0.9688321068249258,-28.18991097922848452600
C_trial_5,0.7264514218009479,0.780213703589109,-7.40067128712872030200
C_trial_6,0.73239825,0.7817856938325992,-6.74324984154443296300
C_trial_7,0.7859512958435207,0.8471770802238806,-7.79002270295253422300
C_trial_8,0.8166074823529414,0.7401628125,9.36125023403859436600
C_trial_10,0.8313114473684213,0.8553121121651788,-2.88708460261595139200
D_trial_1,0.8013934275477708,1.1547874072265625,-44.09743922659335766700
D_trial_2,0.7560037500000001,0.883938198881789,-16.92246220760001297300
D_trial_3,0.9697309703389831,0.9198278787878787,5.14607587851505582600
D_trial_4,0.9412890181660901,0.869398651541096,7.63743815529239196200
D_trial_5,0.8499384000000001,0.7884031047077923,7.23997118993656396200
D_trial_6,0.7742693423076923,0.9296401768867925,-20.06676825354093630400
D_trial_7,0.888074277871622,0.9081607500000001,-2.26180091337830131100
D_trial_8,0.8118048513011151,1.0414176689189187,-28.28423817002240208900
D_trial_9,0.8078898619873817,0.759608888888889,5.97618256772317222600
D_trial_10,0.7840473145780051,0.9010146291560104,-14.91840000000002387100
F_trial_1,0.7433802463833633,0.7523798201906413,-1.21062859163423267500
F_trial_2,0.8455609337349398,0.7269413988657846,14.02850228016082590200
F_trial_3,0.723563875432526,0.7935676874999998,-9.67486277913301061500
F_trial_4,0.6989711660777386,0.6893237521551724,1.38023060045558847100
F_trial_5,0.720615081967213,0.836854780534351,-16.13062250235094957300
F_trial_6,0.7145824815498156,0.6489096106557377,9.19038355819245693100
F_trial_7,0.6058901250000001,0.6115274631751229,-.93042252093526017900
F_trial_8,0.6771043793706296,0.6869114224137931,-1.44837979814562323800
F_trial_9,0.5994239310954066,0.4949261213235295,17.43303934844817363100
F_trial_10,0.6879284280639434,0.6977558525754884,-1.42855333645719528600
G_trial_1,0.389664697542533,0.2919010948426574,25.08916083916080881800
G_trial_2,0.40033208571428575,0.4256832456140351,-6.33253261589486935800
G_trial_3,0.24229985679611651,0.3259197321428572,-34.51090580590096228800
G_trial_4,0.35821887306949807,0.37853468503937016,-5.67134048404273155600
G_trial_5,0.37109899677121777,0.2911381164675768,21.54704836158228359200
G_trial_6,0.43579286690283403,0.6839423502304148,-56.94207091804214536200
G_trial_7,0.3528758312342569,0.49532091428571434,-40.36691392358213357400
G_trial_8,0.3720221459227468,0.3477323360655738,6.52913008630861505800
G_trial_9,0.30143454545454546,0.2168888703208556,28.04777236338322938100
G_trial_10,0.3182145177801724,0.8139637285714285,-155.79088416504223156700
G_trial_11,0.3367699124343258,0.460227820754717,-36.65942347045833053400
G_trial_12,0.36772395876826725,0.5884256516587679,-60.01830656608989742400
H_trial_1,0.28105243187203793,0.24529479452054792,12.72276390327421968400
H_trial_2,0.24256818159448823,0.23544,2.93863009881680233200
H_trial_3,0.25208975,0.43739742782909935,-73.50861263859373496900
H_trial_4,0.21502214417744916,0.22955758683729433,-6.75997475304201765500
H_trial_5,0.251136,0.25333353712871287,-.87503867574257374400
H_trial_6,0.2738868510638298,0.2733053503184714,.21231422505306041600
H_trial_7,0.2725010856573706,0.3278844942946058,-20.32410568333351939600
H_trial_8,0.28258984105603446,0.3962025264084507,-40.20409400700575539200
H_trial_9,0.2748882311320755,0.3047351996717725,-10.85785608819187034600
I_trial_1,0.39035893914473685,0.4326122605790646,-10.82422283627046922300
I_trial_2,0.3650088954869359,0.352618838028169,3.39445356317634039900
I_trial_3,0.32726715686274505,0.5395530733082706,-64.86624520484885760200
I_trial_4,0.3134709507042254,0.37057873170731703,-18.21788617886175678600
I_trial_5,0.4091293435251799,0.5390727738402061,-31.76096566318001598100
I_trial_6,0.28409049773755657,0.4709091964285715,-65.76027715773811517900
I_trial_8,0.33530273437499997,0.3477505470459519,-3.71241012816507280000
I_trial_9,0.39532835820895523,0.5680534320448877,-43.69154659647176090400
I_trial_10,0.35140933244680855,0.38841763521634615,-10.53139440317493599500
J_trial_1,0.6465275643564357,0.6463873312133073,.02169020330447788400
J_trial_2,0.6155799330357143,0.7989071378755367,-29.78121849030225718600
J_trial_3,0.6942852699784017,0.8438195804794522,-21.53787743555358957500
J_trial_4,0.5680076319875776,0.6592741935483871,-16.06784071570459311100
J_trial_5,0.5590012718023255,0.7531741569767443,-34.73567860559043218100
J_trial_6,0.6156499480306346,0.6852823218325793,-11.31038409483952544300
J_trial_7,0.7207426490066225,0.6323481967640919,12.26435709949480080600
J_trial_8,0.623530607142857,0.6876970185810811,-10.29081984158685308900
J_trial_9,0.6706738978794643,0.912699095149254,-36.08686696098127523900
J_trial_10,0.6102116630669546,0.5073337424395161,16.85938287550403107100
K_trial_1,0.7286965565395097,0.9601858321220932,-31.76758192489581548900
K_trial_2,0.8649427118644067,0.7694117647058825,11.04477161875897398300
K_trial_3,0.9901031659388646,0.729456522373541,26.32520049748205901800
K_trial_4,0.9873036914062501,1.004340553977273,-1.72559494300651498500
K_trial_5,0.8510856250000002,0.6321915175097276,25.71939897237396631600
K_trial_6,0.9270499445564515,0.7732063636363635,16.59496144985960843600
K_trial_7,0.9577603463855423,1.3505624999999999,-41.01257220523272591500
K_trial_8,0.9616892754424777,1.0458237885462556,-8.74861717315784975800
K_trial_9,0.9364326815352696,1.0693122954545455,-14.18998039468479941900
K_trial_10,0.9604486116412214,0.7138574616040955,25.67458030011092355600
L_trial_1,1.0861789373536301,1.0681101329787235,1.66352004752821793900
L_trial_2,0.9304953575388025,1.111377972737819,-19.43938932456990049500
L_trial_3,1.112871171482412,1.1504486396103897,-3.37662337662339027700
L_trial_4,0.9942567567567567,1.1404242908653848,-14.70118589743592255100
L_trial_5,0.7776270214285713,1.0150622167359666,-30.53330051098344447400
L_trial_6,1.1279697637795274,1.1545828623670211,-2.35938049423596850200
L_trial_7,1.0161099424939468,1.076145292085427,-5.90835175218628906800
L_trial_8,1.0371405189873417,1.2911156502695418,-24.48801552273553266400
L_trial_9,0.9607517733990145,0.997226424418605,-3.79646980931900241900
L_trial_10,0.9799210202205882,0.9440268889578165,3.66296165936838856700
